 &plot nbnd=  48, nks=    31 /
            0.000000  0.000000  0.000000
  -20.986  -20.533  -19.823  -18.865  -17.697  -16.467  -14.169  -12.601  -10.808   -9.045
   -8.997   -8.532   -7.853   -7.737   -7.420   -7.322   -6.783   -6.696   -6.022   -5.927
   -5.504   -5.282   -4.968   -4.774   -4.411    0.614    1.374    1.710    1.857    1.896
    2.580    2.711    2.717    3.336    3.407    3.414    3.650    4.135    4.234    4.422
    4.568    4.727    4.874    5.210    5.515    5.788    6.013    6.073
            0.016667  0.000000  0.000000
  -20.981  -20.528  -19.818  -18.860  -17.692  -16.462  -14.165  -12.597  -10.805   -9.039
   -8.996   -8.526   -7.876   -7.731   -7.441   -7.326   -6.803   -6.691   -6.058   -5.917
   -5.498   -5.306   -4.974   -4.794   -4.405    0.613    1.380    1.716    1.858    1.903
    2.585    2.717    2.723    3.343    3.413    3.419    3.656    4.135    4.240    4.428
    4.574    4.733    4.880    5.217    5.522    5.798    6.040    6.074
            0.033333  0.000000  0.000000
  -20.966  -20.513  -19.803  -18.846  -17.678  -16.449  -14.153  -12.587  -10.797   -9.022
   -8.993   -8.509   -7.942   -7.714   -7.506   -7.337   -6.858   -6.673   -6.143   -5.907
   -5.481   -5.375   -4.990   -4.854   -4.387    0.610    1.399    1.736    1.858    1.922
    2.602    2.737    2.739    3.362    3.433    3.435    3.675    4.133    4.257    4.448
    4.595    4.754    4.900    5.238    5.543    5.824    6.074    6.122
            0.050000  0.000000  0.000000
  -20.941  -20.489  -19.779  -18.822  -17.655  -16.427  -14.133  -12.569  -10.785   -8.992
   -8.990   -8.480   -8.050   -7.685   -7.611   -7.362   -6.944   -6.645   -6.263   -5.911
   -5.485   -5.452   -5.021   -4.952   -4.358    0.604    1.429    1.769    1.857    1.955
    2.629    2.765    2.770    3.394    3.462    3.466    3.707    4.131    4.286    4.481
    4.628    4.787    4.932    5.272    5.577    5.860    6.069    6.262
            0.066667  0.000000  0.000000
  -20.907  -20.454  -19.745  -18.788  -17.622  -16.396  -14.104  -12.545  -10.767   -8.986
   -8.951   -8.439   -8.197   -7.753   -7.645   -7.411   -7.046   -6.605   -6.416   -5.928
   -5.630   -5.412   -5.085   -5.069   -4.317    0.596    1.472    1.815    1.855    2.000
    2.666    2.801    2.816    3.439    3.499    3.512    3.750    4.126    4.325    4.527
    4.675    4.834    4.976    5.319    5.625    5.901    6.054    6.395
            0.083333  0.000000  0.000000
  -20.862  -20.410  -19.701  -18.745  -17.580  -16.356  -14.068  -12.514  -10.746   -8.985
   -8.898   -8.386   -8.379   -7.928   -7.593   -7.507   -7.139   -6.597   -6.553   -5.960
   -5.804   -5.360   -5.246   -5.134   -4.264    0.583    1.526    1.851    1.874    2.058
    2.714    2.846    2.875    3.496    3.547    3.570    3.806    4.120    4.376    4.587
    4.735    4.894    5.033    5.379    5.686    5.945    6.021    6.426
            0.100000  0.000000  0.000000
  -20.808  -20.356  -19.648  -18.693  -17.529  -16.307  -14.024  -12.477  -10.721   -8.988
   -8.833   -8.591   -8.322   -8.127   -7.663   -7.529   -7.208   -6.804   -6.491   -6.009
   -6.001   -5.430   -5.298   -5.216   -4.199    0.566    1.593    1.842    1.946    2.129
    2.772    2.899    2.947    3.565    3.606    3.642    3.875    4.111    4.439    4.659
    4.809    4.967    5.101    5.452    5.760    5.968    5.991    6.473
            0.116667  0.000000  0.000000
  -20.744  -20.292  -19.585  -18.631  -17.469  -16.250  -13.973  -12.434  -10.694   -9.006
   -8.830   -8.757   -8.342   -8.246   -7.867   -7.455   -7.264   -7.030   -6.417   -6.214
   -6.084   -5.623   -5.314   -5.224   -4.123    0.542    1.671    1.826    2.031    2.213
    2.840    2.956    3.033    3.644    3.676    3.727    3.955    4.101    4.512    4.745
    4.896    5.054    5.181    5.537    5.848    5.894    6.040    6.538
            0.133333  0.000000  0.000000
  -20.670  -20.219  -19.512  -18.559  -17.399  -16.184  -13.916  -12.386  -10.667   -9.090
   -9.054   -8.669   -8.553   -8.159   -8.102   -7.369   -7.326   -7.268   -6.430   -6.332
   -6.201   -5.804   -5.428   -5.139   -4.035    0.510    1.761    1.802    2.130    2.308
    2.917    3.013    3.131    3.732    3.756    3.824    4.047    4.095    4.594    4.843
    4.996    5.154    5.272    5.635    5.799    5.948    6.094    6.567
            0.150000  0.000000  0.000000
  -20.587  -20.136  -19.430  -18.478  -17.321  -16.109  -13.852  -12.335  -10.643   -9.365
   -9.167   -8.727   -8.570   -8.355   -8.061   -7.509   -7.415   -7.272   -6.634   -6.379
   -6.237   -5.950   -5.557   -5.044   -3.936    0.469    1.767    1.862    2.241    2.415
    3.004    3.064    3.242    3.820    3.845    3.935    4.104    4.152    4.685    4.955
